Mumps, Jordan, 162
Pertussis, Jordan, 0
Mumps, Kyrgyzstan, 396
Pertussis, Cambodia, 372
Plague, Republic of Korea, 0
Mumps, Lebanon, 28
Mumps, Saint Lucia, 0
Pertussis, Saint Lucia, 0
Mumps, Luxembourg, 0
Mumps, Macedonia, 242
Plague, Mongolia, 1
Pertussis, Namibia, 0
Mumps, Niger, 0
Mumps, Nicaragua, 52
Pertussis, New Zealand, 462
Plague, New Zealand, 0
Pertussis, Peru, 64
Mumps, South Korea, 131
Pertussis, South Korea, 80
Mumps, Portugal, 140
Mumps, Russian Federation, 510
Pertussis, San Marino, 0
Pertussis, Somalia, 665
Mumps, Serbia, 40
Pertussis, Slovenia, 610
Pertussis, Sweden, 266
Pertussis, Syria, 70
Mumps, Tonga, 0
Mumps, Turkey, 1525
Pertussis, Turkey, 48
Pertussis, Tuvalu, 0
Pertussis, Uruguay, 36
Pertussis, Vanuatu, 0
Mumps, Samoa, 1
Rubella, Afghanistan, 46
Neonatal tetanus, Afghanistan, 23
Yellow fever, Andorra, 0
Tetanus, Argentina, 5
Congenital Rubella Syndrome, Antigua and Barbuda, 0
Rubella, Antigua and Barbuda, 0
Tetanus, Australia, 2
Congenital Rubella Syndrome, Burundi, 0
Tetanus, Belgium, 0
Yellow fever, Belgium, 0
Rubella, Benin, 1
Neonatal tetanus, Bahrain, 0
Tetanus, Bahamas, 0
Yellow fever, Bahamas, 0
Rubella, Bosnia and Herzegovina, 2784
Yellow fever, Belarus, 0
Tetanus, Bolivia, 0
Congenital Rubella Syndrome, Barbados, 0
Neonatal tetanus, Barbados, 0
Congenital Rubella Syndrome, Bhutan, 0
Neonatal tetanus, Bhutan, 0
Tetanus, Afghanistan, 19
Measles, Albania, 0
Mumps, Albania, 22
Diphtheria, Andorra, 0
Measles, Andorra, 0
Diphtheria, Antigua and Barbuda, 0
Measles, Antigua and Barbuda, 0
Tetanus, Argentina, 15
Diphtheria, Australia, 0
Japanese encephalitis, Australia, 0
Measles, Australia, 104
Mumps, Australia, 164
Tetanus, Australia, 3
Yellow fever, Australia, 0
Mumps, Azerbaijan, 232
Pertussis, Azerbaijan, 5
Yellow fever, Bahamas, 0
Congenital Rubella Syndrome, Bahrain, 0
Neonatal tetanus, Bahrain, 0
Yellow fever, Bahrain, 0
Rubella, Bangladesh, 13076
Diphtheria, Barbados, 0
Rubella, Barbados, 0
Rubella, Belize, 0
Neonatal tetanus, Benin, 4
Tetanus, Benin, 4
Yellow fever, Benin, 0
Neonatal tetanus, Bhutan, 0
Tetanus, Bhutan, 23
Pertussis, Bolivia, 0
Rubella, Bosnia and Herzegovina, 523
Neonatal tetanus, Bosnia and Herzegovina, 0
Rubella, Brazil, 0
Tetanus, Brazil, 278
Tetanus, Brunei Darussalam, 0
Congenital Rubella Syndrome, Bulgaria, 0
Neonatal tetanus, Burkina Faso, 6
Tetanus, Burkina Faso, 7
Yellow fever, Burkina Faso, 1
Rubella, Burundi, 305
Meningitis, Cameroon, 771
Rubella, Cameroon, 33
Neonatal tetanus, Cameroon, 39
Tetanus, Cameroon, 72
Measles, Cabo Verde, 0
Mumps, Cabo Verde, 3
Pertussis, Central African Republic, 63
Meningitis, Chad, 3147
Japanese encephalitis, China, 3913
Rubella, China, 69860
Neonatal tetanus, China, 1412
Measles, Colombia, 0
Tetanus, Comoros, 3
Congenital Rubella Syndrome, Congo, 0
Neonatal tetanus, Congo, 2
Pertussis, Cook Islands, 0
Rubella, Costa Rica, 0
Neonatal tetanus, Costa Rica, 0
Congenital Rubella Syndrome, Croatia, 0
Mumps, Cuba, 4
Congenital Rubella Syndrome, Cuba, 0
Measles, Cyprus, 0
Mumps, Cyprus, 5
Congenital Rubella Syndrome, Cyprus, 0
Measles, Czech Republic, 5
Tetanus, Czech Republic, 0
Measles, Democratic Republic of the Congo, 57
Pertussis, Democratic Republic of the Congo, 830
Yellow fever, Democratic Republic of the Congo, 0
Diphtheria, Denmark, 0
Measles, Djibouti, 48
Measles, Dominica, 0
Mumps, Dominica, 0
Measles, Dominican Republic, 0
Mumps, Dominican Republic, 0
Diphtheria, Ecuador, 0
Tetanus, Ecuador, 4
Diphtheria, Egypt, 0
H5N1 influenza, Egypt, 29
Diphtheria, El Salvador, 0
Tetanus, El Salvador, 10
Yellow fever, El Salvador, 0
Mumps, Eritrea, 1585
Congenital Rubella Syndrome, Estonia, 0
Neonatal tetanus, Estonia, 0
Neonatal tetanus, Ethiopia, 50
Tetanus, Ethiopia, 50
Congenital Rubella Syndrome, Fiji, 0
Rubella, Fiji, 1
Neonatal tetanus, Fiji, 0
Mumps, Finland, 2
Congenital Rubella Syndrome, Finland, 0
Neonatal tetanus, France, 0
Tetanus, France, 8
Measles, Georgia, 23
Diphtheria, Germany, 4
Neonatal tetanus, Ghana, 8
Tetanus, Ghana, 256
Neonatal tetanus, Greece, 0
Mumps, Grenada, 0
Rubella, Guatemala, 0
Meningitis, Guinea, 84
Tetanus, Guinea, 54
Neonatal tetanus, Guinea-Bissau, 1
Neonatal tetanus, Haiti, 0
Mumps, Honduras, 187
Measles, Hungary, 1
Tetanus, Iceland, 0
Tetanus, Iran, 8
Diphtheria, Ireland, 0
Measles, Ireland, 164
Neonatal tetanus, Israel, 0
Rubella, Italy, 106
Tetanus, Italy, 62
Tetanus, Jamaica, 6
Yellow fever, Jamaica, 0
Congenital Rubella Syndrome, Japan, 2
Mumps, Kiribati, 0
Diphtheria, Kyrgyzstan, 0
Congenital Rubella Syndrome, Kyrgyzstan, 0
Pertussis, Laos, 12
Rubella, Laos, 124
Mumps, Lebanon, 135
Pertussis, Lebanon, 65
Yellow fever, Lebanon, 0
Yellow fever, Lesotho, 0
Diphtheria, Liberia, 0
Neonatal tetanus, Liberia, 4
Rubella, Libya, 3
Neonatal tetanus, Libya, 0
Yellow fever, Libya, 0
Pertussis, Lithuania, 233
Congenital Rubella Syndrome, Lithuania, 0
Neonatal tetanus, Lithuania, 0
Pertussis, Luxembourg, 1
